sample_index,time_s,position_rad,velocity_rad_s,acceleration_rad_s2,jerk_rad_s3
0,0,0,0.021770999999999999,0,0
1,0.01,0.00021771,0.021770999999999999,0,0
2,0.02,0.00043542,0.021770999999999999,0,0
3,0.029999999999999999,0.00065312999999999992,0.021770999999999999,0,0
4,0.040000000000000001,0.00087084,0.021770999999999999,0,0
5,0.050000000000000003,0.00108855,0.021770999999999999,0,0
6,0.059999999999999998,0.0013062599999999998,0.021770999999999999,0,0
7,0.070000000000000007,0.0015239700000000001,0.021770999999999999,0,0
8,0.080000000000000002,0.00174168,0.021770999999999999,0,0
9,0.089999999999999997,0.0019593899999999997,0.021770999999999999,0,0
10,0.10000000000000001,0.0021771,0.021770999999999999,0,0
11,0.11,0.0023948099999999998,0.021770999999999999,0,0
12,0.12,0.0026125199999999997,0.021770999999999999,0,0
13,0.13,0.00283023,0.021770999999999999,0,0
14,0.14000000000000001,0.0030479400000000003,0.021770999999999999,0,0
15,0.14999999999999999,0.0032656499999999997,0.021770999999999999,0,0
16,0.16,0.00348336,0.021770999999999999,0,0
17,0.17000000000000001,0.0037010699999999999,0.021770999999999999,0,0
18,0.17999999999999999,0.0039187799999999993,0.021770999999999999,0,0
19,0.19,0.0041364899999999996,0.021770999999999999,0,0
20,0.20000000000000001,0.0043541999999999999,0.021770999999999999,0,0
21,0.20999999999999999,0.0045719099999999993,0.021770999999999999,0,0
22,0.22,0.0047896199999999996,0.021770999999999999,0,0
23,0.23000000000000001,0.0050073299999999999,0.021770999999999999,0,0
24,0.23999999999999999,0.0052250399999999994,0.021770999999999999,0,0
25,0.25,0.0054427499999999997,0.021770999999999999,0,0
26,0.26000000000000001,0.00566046,0.021770999999999999,0,0
27,0.27000000000000002,0.0058781700000000003,0.021770999999999999,0,0
28,0.28000000000000003,0.0060958800000000006,0.021770999999999999,0,0
29,0.28999999999999998,0.0063135899999999991,0.021770999999999999,0,0
30,0.29999999999999999,0.0065312999999999994,0.021770999999999999,0,0
31,0.31,0.0067490099999999997,0.021770999999999999,0,0
32,0.32000000000000001,0.00696672,0.021770999999999999,0,0
33,0.33000000000000002,0.0071844300000000003,0.021770999999999999,0,0
34,0.34000000000000002,0.0074021399999999998,0.021770999999999999,0,0
35,0.35000000000000003,0.0076198500000000001,0.021770999999999999,0,0
36,0.35999999999999999,0.0078375599999999986,0.021770999999999999,0,0
37,0.37,0.0080552699999999998,0.021770999999999999,0,0
38,0.38,0.0082729799999999992,0.021770999999999999,0,0
