sampling_rate_hz,method,position_rmse
100.0,locked_one_step_direct,0.0018344634558428365
100.0,locked_one_step_direct,0.002870826316177989
100.0,locked_one_step_direct,0.003969074195196281
100.0,locked_one_step_direct,0.004344093818210483
100.0,locked_one_step_direct,0.0044994806338561
100.0,locked_one_step_direct,0.004769176956438904
100.0,locked_one_step_direct,0.005137659425050972
100.0,locked_one_step_direct,0.005445470612074462
100.0,locked_one_step_direct,0.007428514718732406
100.0,locked_one_step_direct,0.008442386543822705
100.0,locked_one_step_direct,0.013076321575973788
100.0,locked_one_step_direct,0.015547052224465677
100.0,locked_one_step_direct,0.017089804674608834
100.0,locked_one_step_direct,0.017364700302152442
100.0,locked_one_step_direct,0.01796618713421544
100.0,locked_one_step_direct,0.019682769353001332
100.0,locked_one_step_direct,0.02433046287880182
100.0,locked_one_step_direct,0.024521611950504486
100.0,locked_one_step_direct,0.030728884739280593
100.0,locked_one_step_direct,0.03265050928210029
100.0,locked_one_step_direct,0.05270179015499766
100.0,locked_one_step_direct,0.057924297560180575
100.0,locked_one_step_direct,0.06810359880693453
100.0,locked_one_step_direct,1.1113098209427474
200.0,locked_one_step_direct,0.0009161358491240291
200.0,locked_one_step_direct,0.0014689805761169594
200.0,locked_one_step_direct,0.0022504430866500382
200.0,locked_one_step_direct,0.0023899889758252947
200.0,locked_one_step_direct,0.0026310830816206883
200.0,locked_one_step_direct,0.0026334715823620736
200.0,locked_one_step_direct,0.0027287540162155783
200.0,locked_one_step_direct,0.00374042001773428
200.0,locked_one_step_direct,0.004860568111006608
200.0,locked_one_step_direct,0.006535585346497633
200.0,locked_one_step_direct,0.007613900781288155
200.0,locked_one_step_direct,0.0077927952669121425
200.0,locked_one_step_direct,0.00897865272803789
200.0,locked_one_step_direct,0.01215828448483011
200.0,locked_one_step_direct,0.012274837789763985
200.0,locked_one_step_direct,0.015430815679167664
200.0,locked_one_step_direct,0.0211398459687735
200.0,locked_one_step_direct,0.023756943532115053
200.0,locked_one_step_direct,0.03409370384122255
200.0,locked_one_step_direct,0.04046188601934977
200.0,locked_one_step_direct,0.05694578641172295
200.0,locked_one_step_direct,0.061209330176360446
200.0,locked_one_step_direct,0.08099307791654949
200.0,locked_one_step_direct,1.1284868420167045
50.0,locked_one_step_direct,0.003729527812635512
50.0,locked_one_step_direct,0.003925149984094967
50.0,locked_one_step_direct,0.005648027079021973
50.0,locked_one_step_direct,0.007513702929987415
50.0,locked_one_step_direct,0.007867624205037773
50.0,locked_one_step_direct,0.008991696634644162
50.0,locked_one_step_direct,0.00951056405138415
50.0,locked_one_step_direct,0.010159738168467517
50.0,locked_one_step_direct,0.010996250319619713
50.0,locked_one_step_direct,0.014610365192448127
50.0,locked_one_step_direct,0.014794011514346384
50.0,locked_one_step_direct,0.01689007840673486
50.0,locked_one_step_direct,0.017993810839060674
50.0,locked_one_step_direct,0.02021671739409429
50.0,locked_one_step_direct,0.02614151562712366
50.0,locked_one_step_direct,0.030522774423397084
50.0,locked_one_step_direct,0.03082658472604199
50.0,locked_one_step_direct,0.03596338781164475
50.0,locked_one_step_direct,0.0454759168007385
50.0,locked_one_step_direct,0.048701404984424324
50.0,locked_one_step_direct,0.048887690982380605
50.0,locked_one_step_direct,0.049421621424008036
50.0,locked_one_step_direct,0.05255120380102669
50.0,locked_one_step_direct,1.046146962605313
500.0,locked_one_step_direct,0.00036691439788395937
500.0,locked_one_step_direct,0.0005981930025647773
500.0,locked_one_step_direct,0.0009003074838479385
500.0,locked_one_step_direct,0.0009569051548843428
500.0,locked_one_step_direct,0.0010743141045385302
500.0,locked_one_step_direct,0.0010955503364224034
500.0,locked_one_step_direct,0.0015003572760154005
500.0,locked_one_step_direct,0.0018838381677755852
500.0,locked_one_step_direct,0.0026136197406303515
500.0,locked_one_step_direct,0.0031257651172168885
500.0,locked_one_step_direct,0.003591136025059679
500.0,locked_one_step_direct,0.004855892998979508
500.0,locked_one_step_direct,0.004861302315234114
500.0,locked_one_step_direct,0.00491344997358143
500.0,locked_one_step_direct,0.010286596922735916
500.0,locked_one_step_direct,0.014402294688197415
500.0,locked_one_step_direct,0.031046469360262053
500.0,locked_one_step_direct,0.03507281381945336
500.0,locked_one_step_direct,0.04643761969624259
500.0,locked_one_step_direct,0.046939063802873125
500.0,locked_one_step_direct,0.059626095827554154
500.0,locked_one_step_direct,0.06338794652324047
500.0,locked_one_step_direct,0.08958783061921188
500.0,locked_one_step_direct,1.1307722496081765
