scenario_id,method,position_rmse
ar08_0.0001,deployed_p_only,0.006870042831550852
ar08_0.0001,deployed_p_only,0.009396821083668705
ar08_0.0001,deployed_p_only,0.01628479283893016
ar08_0.0001,deployed_p_only,0.018623483313080662
ar08_0.0001,deployed_p_only,0.01948214832999308
ar08_0.0001,deployed_p_only,0.025163404932714045
ar08_0.0001,deployed_p_only,0.026078179863435913
ar08_0.0001,deployed_p_only,0.034071748380167466
ar08_0.0001,deployed_p_only,0.03425494315303092
ar08_0.0001,deployed_p_only,0.045893574770251605
ar08_0.0001,deployed_p_only,0.05254515368310602
ar08_0.0001,deployed_p_only,0.05782758393395764
ar08_0.0001,deployed_p_only,0.08030557723276108
ar08_0.0001,deployed_p_only,0.08527410333528092
ar08_0.0001,deployed_p_only,0.12840304150117776
ar08_0.0001,deployed_p_only,0.14428690092323201
ar08_0.0001,deployed_p_only,0.18880257440094889
ar08_0.0001,deployed_p_only,0.21359241922231736
ar08_0.0001,deployed_p_only,0.23944448489431136
ar08_0.0001,deployed_p_only,0.2502767550577905
ar08_0.0001,deployed_p_only,0.2652941780329192
ar08_0.0001,deployed_p_only,0.275279385768851
ar08_0.0001,deployed_p_only,0.3060782762619505
ar08_0.0001,deployed_p_only,0.6527329328302418
ar08_0.0001,one_step_governed_pva_direct,0.0017275731078291818
ar08_0.0001,one_step_governed_pva_direct,0.002706917803065502
ar08_0.0001,one_step_governed_pva_direct,0.004765998676682611
ar08_0.0001,one_step_governed_pva_direct,0.004961326287456727
ar08_0.0001,one_step_governed_pva_direct,0.0052521720758847675
ar08_0.0001,one_step_governed_pva_direct,0.005396135182168109
ar08_0.0001,one_step_governed_pva_direct,0.005658801989925871
ar08_0.0001,one_step_governed_pva_direct,0.006830032570454532
ar08_0.0001,one_step_governed_pva_direct,0.009771168379952348
ar08_0.0001,one_step_governed_pva_direct,0.010942083167766743
ar08_0.0001,one_step_governed_pva_direct,0.011335293789199646
